text,label
"오늘은 기분이 너무 좋아서 행복하다",0
"작은 성취에도 완전 기쁘다",0
"친구들과 만나서 즐거운 시간을 보냈다",0
"오랜만에 가족과 식사해서 만족스럽다",0
"프로젝트가 잘 돼서 기분이 좋다",0
"정말 행복한 하루였다",0
"새로운 취미를 시작해서 신난다",4
"내일 여행이라서 설렌다",4
"데이트가 기대돼서 두근거린다",4
"공연 티켓을 손에 넣어서 흥분된다",4
"새로운 기회가 와서 기대가 크다",4
"완전 설레는 소식이야",4
"요즘 계속 우울하고 의욕이 없다",1
"잠도 잘 못 자고 너무 피곤해",1
"작은 일에도 슬픔이 올라온다",1
"아무것도 하기 싫고 무기력하다",1
"요즘 마음이 가라앉아 힘들다",1
"정말 우울한 기분이 계속된다",1
"내일 발표가 있어서 너무 걱정돼",2
"미래가 불안해서 잠이 안 온다",2
"시험 결과가 걱정돼서 초조하다",2
"건강검진 결과가 불안하다",2
"면접 때문에 긴장되고 불안하다",2
"금전 문제가 걱정돼서 스트레스다",2
"회사에서 짜증나는 일이 많아서 화가 난다",3
"정말 화가 나서 참을 수가 없어",3
"교통체증 때문에 짜증이 났다",3
"회의에서 무시당해서 분노가 치민다",3
"약속을 어겨서 화가 났다",3
"상대의 말에 열받았다",3
"혼자 있어서 외롭다",5
"요즘 공허한 기분이 자주 든다",5
"친구가 없어서 허전하고 외롭다",5
"밤에 혼자 있으면 공허함이 밀려온다",5
"사람들과 어울리지 못해 외로움을 느낀다",5
"연락이 끊겨서 허전하다",5
"오늘은 마음이 차분하고 평온하다",6
"편안하게 쉬면서 안정된 기분이다",6
"잔잔한 음악을 들으며 평온을 느낀다",6
"명상하고 나니 마음이 안정된다",6
"조용한 오후가 참 평온하다",6
"자연 속에서 마음이 편안해졌다",6
"친구와 웃으며 만족스러운 시간을 보냈다",0
"성과를 내서 기쁘고 보람을 느낀다",0
"작은 선물에 행복해졌다",0
"요즘 계속 피곤해서 아무것도 하기 싫다",1
"계속 잠이 부족해 피곤하다",1
"몸이 무겁고 의욕이 없다",1
"중요한 일정이 다가와서 불안하다",2
"돈 문제 때문에 걱정이 많다",2
"관계가 불안정해서 초조하다",2
"상사가 잔소리해서 짜증난다",3
"교실에서 무시당해 화가 났다",3
"서비스가 엉망이라 열받았다",3
"새로운 직장에서 기대가 커서 설렌다",4
"이벤트에 당첨돼서 신난다",4
"새로운 사람을 만나서 두근거린다",4
"혼자 밥 먹는 게 자꾸 외롭게 느껴진다",5
"이별 후 공허함이 계속된다",5
"사람들 사이에서 소외감을 느낀다",5
"따뜻한 차 한잔에 마음이 편안하다",6
"바다를 보며 마음이 안정된다",6
"평온한 아침을 맞이했다",6
"오늘 정말 행복한 일이 많았다",0
"동료의 칭찬에 기분이 좋아졌다",0
"아이들과 놀아서 즐거웠다",0
